model,factor,effect_abs,effect_rel_pct,model_pmse_mean
elastic_net,generation_mode,0.3075942353378715,103.6849268515099,0.2966624413772176
elastic_net,first_nonlinearity,0.23537628364283594,79.34145035351679,0.2966624413772176
elastic_net,train_size,0.2137744590457711,72.05983273560024,0.2966624413772176
elastic_net,hidden_dim,0.17664056424465446,59.54261126707619,0.2966624413772176
elastic_net,num_layers,0.16072920360765255,54.179154887786844,0.2966624413772176
elastic_net,noise_std,0.16034153397712445,54.04847787025526,0.2966624413772176
elastic_net,per_layer_activation,0.1441497162250536,48.59048403830863,0.2966624413772176
elastic_net,in_clique,0.1425703700217936,48.058112567242695,0.2966624413772176
elastic_net,sort_features,0.14228112950232352,47.96061437430418,0.2966624413772176
elastic_net,sampling,0.09584103606745498,32.30642733961373,0.2966624413772176
elastic_net,num_features,0.07122887766079883,24.01007600764284,0.2966624413772176
elastic_net,seq_len,0.06482483927781385,21.85138063884083,0.2966624413772176
elastic_net,num_causes,0.04942922374897901,16.66177340128064,0.2966624413772176
elastic_net,init_std,0.04567545120949512,15.396438793347976,0.2966624413772176
elastic_net,y_is_effect,0.027695797039430703,9.335794888917011,0.2966624413772176
extra_trees,generation_mode,0.29502237576719015,73.6661483622049,0.4004856807724104
extra_trees,first_nonlinearity,0.2626333349657633,65.57870794761664,0.4004856807724104
extra_trees,sort_features,0.16679365486430076,41.64784482246868,0.4004856807724104
extra_trees,hidden_dim,0.16312222797418485,40.73110121180203,0.4004856807724104
extra_trees,in_clique,0.16246721210080023,40.56754583271299,0.4004856807724104
extra_trees,noise_std,0.13238468478871496,33.05603449626132,0.4004856807724104
extra_trees,num_layers,0.13177448640976686,32.90366990290776,0.4004856807724104
extra_trees,num_causes,0.11974782886028579,29.900651785934027,0.4004856807724104
extra_trees,seq_len,0.10011877966239213,24.99934066788471,0.4004856807724104
extra_trees,per_layer_activation,0.09465371033307007,23.634730248160924,0.4004856807724104
extra_trees,train_size,0.09236222766601804,23.062554318516575,0.4004856807724104
extra_trees,sampling,0.07433721359512269,18.56176566706447,0.4004856807724104
extra_trees,y_is_effect,0.055630746876610404,13.890820458128804,0.4004856807724104
extra_trees,num_features,0.05341696810767327,13.338046944562114,0.4004856807724104
extra_trees,init_std,0.025694080840196976,6.41573021802957,0.4004856807724104
gbrt,generation_mode,0.3212914462740288,77.25730397011516,0.4158719367146328
gbrt,first_nonlinearity,0.25872562034990015,62.21281060554829,0.4158719367146328
gbrt,num_layers,0.19125746850674752,45.98951062138788,0.4158719367146328
gbrt,in_clique,0.1861256157204843,44.755512283629244,0.4158719367146328
gbrt,noise_std,0.16642086322030736,40.017334310899585,0.4158719367146328
gbrt,hidden_dim,0.15366364976817082,36.94975212372007,0.4158719367146328
gbrt,sort_features,0.14494654677765,34.85364940051507,0.4158719367146328
gbrt,per_layer_activation,0.14282812608975465,34.34425684456845,0.4158719367146328
gbrt,train_size,0.1384313446666977,33.28701276654979,0.4158719367146328
gbrt,seq_len,0.11572903515046173,27.828046312697904,0.4158719367146328
gbrt,num_causes,0.11356749025240254,27.308284167857042,0.4158719367146328
gbrt,y_is_effect,0.08040855813836872,19.334932473105123,0.4158719367146328
gbrt,init_std,0.07620961685656441,18.325260766238888,0.4158719367146328
gbrt,sampling,0.05162584462739417,12.413880348656303,0.4158719367146328
gbrt,num_features,0.0066893513208913236,1.6085123160117174,0.4158719367146328
hist_gbrt,first_nonlinearity,0.24395170336103933,63.39300561903843,0.3848243208833986
hist_gbrt,generation_mode,0.23079170645291258,59.973264143781144,0.3848243208833986
hist_gbrt,hidden_dim,0.17771449964057262,46.18068297570515,0.3848243208833986
hist_gbrt,noise_std,0.16590460473046947,43.11177743382243,0.3848243208833986
hist_gbrt,num_layers,0.1591747469838703,41.36296443490642,0.3848243208833986
hist_gbrt,in_clique,0.13035047833984326,33.87272354320332,0.3848243208833986
hist_gbrt,train_size,0.12496391424846331,32.472977269627215,0.3848243208833986
hist_gbrt,per_layer_activation,0.12318078574361557,32.00961557233261,0.3848243208833986
hist_gbrt,seq_len,0.11300488747190496,29.365318494551527,0.3848243208833986
hist_gbrt,sort_features,0.11144564213716107,28.96013481718818,0.3848243208833986
hist_gbrt,num_causes,0.09322463525768637,24.2252451829658,0.3848243208833986
hist_gbrt,init_std,0.07733694245824352,20.096687829061757,0.3848243208833986
hist_gbrt,sampling,0.07322194044563934,19.02736819688315,0.3848243208833986
hist_gbrt,y_is_effect,0.06351610680664427,16.505221567295273,0.3848243208833986
hist_gbrt,num_features,0.018339184793093988,4.765599209268986,0.3848243208833986
knn,generation_mode,0.2690785599374304,58.1642582609493,0.46261839827859735
knn,first_nonlinearity,0.22329709102871642,48.268095661479244,0.46261839827859735
knn,hidden_dim,0.16996535934414936,36.73986161739142,0.46261839827859735
knn,sort_features,0.1586499607444043,34.293915100380936,0.46261839827859735
knn,in_clique,0.1435673051603808,31.033634999082313,0.46261839827859735
knn,num_causes,0.12130361633370612,26.221096433924107,0.46261839827859735
knn,noise_std,0.11042703756983657,23.87000559872575,0.46261839827859735
knn,num_layers,0.110164344721778,23.813221681562908,0.46261839827859735
knn,seq_len,0.10573488029953171,22.855744754850026,0.46261839827859735
knn,per_layer_activation,0.08024418581417408,17.34565380727672,0.46261839827859735
knn,train_size,0.07093015218637688,15.332324103474466,0.46261839827859735
knn,num_features,0.06462705122127566,13.969840253166078,0.46261839827859735
knn,sampling,0.060028144656964044,12.975736563943137,0.46261839827859735
knn,y_is_effect,0.0529950038621671,11.45544666173275,0.46261839827859735
knn,init_std,0.029712185230563737,6.42261210127456,0.46261839827859735
lasso,generation_mode,0.30761341545398213,103.66473034865705,0.2967387407649464
lasso,first_nonlinearity,0.23525116252712908,79.27888415266848,0.2967387407649464
lasso,train_size,0.21380259285980538,72.0507852492248,0.2967387407649464
lasso,hidden_dim,0.17620361258482764,59.38004998289138,0.2967387407649464
lasso,num_layers,0.16092776858338995,54.2321397497823,0.2967387407649464
lasso,noise_std,0.16028725126654736,54.01628747677223,0.2967387407649464
lasso,per_layer_activation,0.1439696776647387,48.51731772319557,0.2967387407649464
lasso,in_clique,0.14258491799959708,48.05065817561782,0.2967387407649464
lasso,sort_features,0.14213759583781055,47.89991204768272,0.2967387407649464
lasso,sampling,0.0955921364052651,32.21424211710389,0.2967387407649464
lasso,num_features,0.07115852063476152,23.98019229013573,0.2967387407649464
lasso,seq_len,0.06443508293402073,21.71441543760585,0.2967387407649464
lasso,num_causes,0.049627685054837056,16.724370039080366,0.2967387407649464
lasso,init_std,0.04567164695378839,15.391197939323318,0.2967387407649464
lasso,y_is_effect,0.027593559497466502,9.298940686455229,0.2967387407649464
