factor,effect_abs,effect_rel_pct,overall_difficulty_mean
generation_mode,0.29291547400806084,78.46606305313705,0.37330211636806493
first_nonlinearity,0.24533021175172032,65.71894478889907,0.37330211636806493
hidden_dim,0.1678967368412504,44.97610098618062,0.37330211636806493
in_clique,0.15358137693430202,41.141308929220024,0.37330211636806493
num_layers,0.15126971167566194,40.52206109823242,0.37330211636806493
noise_std,0.14975928493725493,40.1174486751628,0.37330211636806493
train_size,0.14516206143076643,38.885946547284206,0.37330211636806493
sort_features,0.14489026209059302,38.81313706449376,0.37330211636806493
per_layer_activation,0.12096003368692287,32.40271843721878,0.37330211636806493
seq_len,0.08979184319219125,24.053397839207296,0.37330211636806493
num_causes,0.08934537279261934,23.933797553005945,0.37330211636806493
sampling,0.07585985152185376,20.321302289928134,0.37330211636806493
y_is_effect,0.04798380801351115,12.853880519177267,0.37330211636806493
init_std,0.04553107559406172,12.19684368174581,0.37330211636806493
num_features,0.005304428273184225,1.4209478169564447,0.37330211636806493
