factor,effect_abs,effect_rel_pct,overall_difficulty_mean
hidden_dim,0.23375448709942295,66.08986068371868,0.3536919047508427
generation_mode,0.1837747972509216,51.959005785100246,0.3536919047508427
num_causes,0.14721963204812977,41.623692844154355,0.3536919047508427
sampling,0.13708494567068197,38.758293257305695,0.3536919047508427
num_features,0.0705950925000896,19.959487777878355,0.3536919047508427
noise_std,0.061734939212577944,17.454439409934178,0.3536919047508427
y_is_effect,0.0570044985667571,16.116992727586954,0.3536919047508427
per_layer_activation,0.04714004525887194,13.327996661976082,0.3536919047508427
num_layers,0.042970252724492175,12.149063110382029,0.3536919047508427
init_std,0.03599473799451719,10.176862266574515,0.3536919047508427
train_size,0.025831752653193707,7.303461658640678,0.3536919047508427
seq_len,0.023232995256789457,6.568709926554829,0.3536919047508427
in_clique,0.015172842833856393,4.28984735869057,0.3536919047508427
sort_features,0.013939053636637222,3.9410157398022863,0.3536919047508427
first_nonlinearity,0.010238385699086139,2.894718697703455,0.3536919047508427
