condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
50,0.8480435084316087,0.05688281815145128,8,512,0.5,10,20,2,64,causal,True,False,True,tanh,True,0.005,0.5,normal
51,0.5055538880274218,0.07636140318293506,8,512,0.7,20,20,5,16,roots,True,False,True,tanh,True,0.005,0.5,uniform
52,0.3375635435442749,0.10752374132902866,8,256,0.5,20,20,5,64,roots,True,True,False,gelu,False,0.03,1.2,uniform
53,0.30652776004377785,0.05367797453463696,8,512,0.5,20,10,2,64,causal,True,False,False,gelu,True,0.03,1.2,normal
54,0.7429922511408689,0.05773325046565963,8,512,0.7,10,20,2,64,causal,False,True,False,relu,False,0.005,1.2,normal
55,0.4901432491412732,0.12913950628171636,8,256,0.5,20,20,5,16,roots,False,False,False,gelu,True,0.005,0.5,uniform
56,0.5611298536051319,0.11443350843190452,8,256,0.7,10,20,5,16,causal,False,True,True,tanh,True,0.005,0.5,uniform
57,0.5547356487910952,0.017445043089882078,8,256,0.5,10,10,5,64,roots,False,False,False,tanh,True,0.03,1.2,uniform
58,0.06853595283916145,0.029484446646905166,8,512,0.5,20,10,5,16,causal,True,False,False,relu,False,0.03,0.5,uniform
59,0.5799636981648759,0.1514175872202745,8,256,0.5,20,20,2,64,head,False,True,False,relu,True,0.005,1.2,normal
60,0.44668751236300497,0.04253977892794735,8,512,0.7,10,10,5,64,head,False,False,True,tanh,True,0.03,1.2,uniform
61,0.22417149916828782,0.17637460377345276,8,512,0.7,20,20,2,16,causal,False,True,True,tanh,False,0.005,0.5,normal
62,0.07862444985835801,0.04223692680380878,8,256,0.7,20,20,5,16,causal,True,True,False,tanh,True,0.005,1.2,normal
63,0.5649737276982387,0.10013550000839758,8,512,0.5,10,20,2,64,causal,True,True,True,gelu,False,0.03,0.5,uniform
64,0.335416135066513,0.043533076028719565,8,512,0.7,10,10,5,64,head,False,True,True,tanh,True,0.005,0.5,normal
65,0.399602569366213,0.13357645122628134,8,256,0.5,20,20,2,64,causal,False,True,True,tanh,False,0.005,0.5,normal
66,0.3663087371986384,0.1812978110472858,8,256,0.7,20,20,2,64,causal,False,False,False,tanh,False,0.005,0.5,uniform
67,0.03505024378636759,0.029102094678679996,8,256,0.7,20,10,5,16,head,True,False,False,relu,False,0.03,0.5,uniform
68,0.6739198770771179,0.03477580663367256,8,512,0.5,10,10,5,64,causal,True,True,False,gelu,True,0.03,0.5,normal
69,0.09800834312520539,0.05801323201122106,8,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.03,0.5,normal
70,0.3236520525724614,0.027005678953696124,8,512,0.5,10,10,2,64,head,True,True,True,relu,True,0.03,1.2,uniform
71,0.39067794979803044,0.04689816889455987,8,512,0.5,10,10,5,16,roots,False,True,False,gelu,True,0.005,0.5,normal
72,0.27058006185921496,0.05438275589876926,8,256,0.5,10,20,5,16,causal,True,True,False,tanh,False,0.005,1.2,uniform
73,0.43896922225334933,0.08940977562477972,8,256,0.5,20,20,2,64,roots,False,False,True,tanh,True,0.03,0.5,normal
74,0.09299498849918551,0.09146843419882933,8,512,0.5,20,20,2,16,head,False,False,True,tanh,False,0.005,1.2,uniform
75,0.23922026754623818,0.19779011236343083,8,256,0.7,20,20,2,16,roots,False,True,False,gelu,True,0.005,1.2,uniform
76,0.5167777409364469,0.11869481719796951,8,256,0.5,10,20,2,64,causal,False,True,True,relu,True,0.03,1.2,uniform
77,0.07377231239635196,0.0674939414507407,8,512,0.5,20,10,5,16,causal,True,True,True,relu,True,0.005,0.5,normal
78,0.8362150017941659,0.05397341135111279,8,256,0.5,20,20,5,64,roots,False,True,False,relu,True,0.03,0.5,normal
79,0.30692667704047716,0.07377227739719988,8,256,0.7,10,10,5,64,causal,True,True,True,gelu,False,0.005,0.5,uniform
80,0.587524247638572,0.07008711907755572,8,256,0.7,10,10,5,64,causal,True,False,True,relu,False,0.03,0.5,uniform
81,0.08693111084393318,0.09511960661255485,8,256,0.5,20,10,2,16,head,False,False,True,relu,False,0.005,0.5,uniform
82,0.3313641730484742,0.028730427871636512,8,512,0.7,20,20,5,64,causal,True,False,False,relu,True,0.005,1.2,normal
83,0.38680456221174436,0.05240469410161765,8,256,0.7,20,10,5,64,head,True,False,True,tanh,False,0.005,0.5,uniform
84,0.2372664182920675,0.08127111014234485,8,256,0.5,20,10,2,64,causal,False,False,True,gelu,True,0.03,1.2,uniform
85,0.6490030858539786,0.03913842912405925,8,256,0.7,10,10,5,64,causal,True,False,False,tanh,False,0.03,0.5,normal
86,0.21254217151111496,0.12802864146606718,8,256,0.7,20,10,2,64,head,True,True,True,relu,False,0.03,1.2,uniform
87,0.3604742619932603,0.03874426419423861,8,512,0.5,10,10,5,64,causal,True,True,True,relu,True,0.005,1.2,uniform
88,0.7430632683217472,0.057178322764003114,8,256,0.5,20,20,5,64,roots,False,False,True,tanh,True,0.03,1.2,normal
89,0.5196926606264543,0.04910554124366272,8,256,0.7,20,10,5,64,head,True,True,True,relu,True,0.005,0.5,normal
90,0.5559015653979684,0.06675279492837591,8,512,0.5,10,20,2,64,head,False,False,True,gelu,False,0.005,1.2,normal
91,0.27364969253985016,0.15934006129330688,8,512,0.7,20,20,2,64,head,False,True,True,relu,True,0.005,1.2,uniform
92,0.7272939414436776,0.06264897251712734,8,256,0.5,10,20,2,64,causal,True,True,False,relu,True,0.03,0.5,normal
93,0.20040099653905438,0.030825902522741193,8,512,0.7,10,10,2,64,roots,True,True,False,relu,False,0.005,1.2,uniform
94,0.11541365842134632,0.09589151866119779,8,256,0.5,20,10,2,16,head,False,False,True,tanh,False,0.03,1.2,normal
95,0.37478651045508177,0.15206384492508396,8,512,0.5,20,10,5,64,head,True,False,True,tanh,False,0.03,1.2,normal
