seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
512,0.5,10,20,2,64,causal,True,False,True,tanh,True,0.005,0.5,normal,0.8480435084316087
512,0.5,10,20,2,64,causal,True,True,True,gelu,False,0.03,0.5,uniform,0.5649737276982387
512,0.5,10,20,2,64,head,False,False,True,gelu,False,0.005,1.2,normal,0.5559015653979684
512,0.5,10,20,5,64,causal,False,False,False,relu,False,0.03,0.5,normal,0.9392301740663784
512,0.5,10,20,5,64,causal,False,True,True,relu,False,0.03,0.5,uniform,0.43706288745030447
512,0.5,10,20,5,64,head,False,True,True,gelu,True,0.005,0.5,normal,0.45278243493712184
512,0.5,20,10,2,16,causal,True,False,False,relu,True,0.005,1.2,uniform,0.14382834355111349
512,0.5,20,10,2,64,causal,True,False,False,gelu,True,0.03,1.2,normal,0.30652776004377785
512,0.5,20,10,2,64,head,True,True,True,gelu,False,0.005,0.5,uniform,0.09959547953447422
512,0.5,20,10,5,16,causal,True,False,False,relu,False,0.03,0.5,uniform,0.06853595283916145
512,0.5,20,10,5,16,causal,True,True,True,relu,True,0.005,0.5,normal,0.07377231239635196
512,0.5,20,10,5,64,head,True,False,True,tanh,False,0.03,1.2,normal,0.37478651045508177
512,0.5,20,20,2,16,head,False,False,True,tanh,False,0.005,1.2,uniform,0.09299498849918551
512,0.5,20,20,2,64,roots,False,True,False,relu,True,0.005,0.5,uniform,0.3192424588953307
512,0.5,20,20,5,16,head,True,True,True,gelu,False,0.03,0.5,uniform,0.01800830350431528
512,0.5,20,20,5,64,head,True,True,False,relu,True,0.03,1.2,uniform,0.2882319228738591
512,0.5,20,20,5,64,head,True,True,True,gelu,True,0.005,1.2,normal,0.3847230420445871
512,0.5,20,20,5,64,roots,True,False,False,relu,True,0.03,1.2,normal,0.8403568642102006
512,0.7,10,10,2,16,causal,True,True,False,gelu,True,0.03,0.5,normal,0.3000425286693714
512,0.7,10,10,2,64,head,False,True,True,relu,True,0.005,0.5,uniform,0.3851891727492948
512,0.7,10,10,2,64,roots,True,True,False,relu,False,0.005,1.2,uniform,0.20040099653905438
512,0.7,10,10,5,16,causal,True,True,False,relu,True,0.005,0.5,normal,0.12443789989754217
512,0.7,10,10,5,16,roots,True,False,True,tanh,False,0.03,0.5,uniform,0.3387339883046061
512,0.7,10,10,5,64,head,False,False,True,tanh,True,0.03,1.2,uniform,0.44668751236300497
512,0.7,10,10,5,64,head,False,True,True,tanh,True,0.005,0.5,normal,0.335416135066513
512,0.7,10,20,2,16,causal,False,False,True,tanh,True,0.03,1.2,uniform,0.1764056297993406
512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,0.06641667698955496
512,0.7,10,20,2,64,causal,False,True,False,relu,False,0.005,1.2,normal,0.7429922511408689
512,0.7,10,20,5,64,head,False,False,True,relu,False,0.005,1.2,uniform,0.4558492461394311
512,0.7,20,20,2,16,causal,False,True,True,tanh,False,0.005,0.5,normal,0.22417149916828782
512,0.7,20,20,2,64,head,False,True,True,relu,True,0.005,1.2,uniform,0.27364969253985016
512,0.7,20,20,5,16,roots,True,False,True,tanh,True,0.005,0.5,uniform,0.5055538880274218
512,0.7,20,20,5,64,causal,True,False,False,relu,True,0.005,1.2,normal,0.3313641730484742
