condition_id,model,pmse_mean,pmse_std,n
0,elastic_net,0.2606566846370697,,1
0,extra_trees,0.42520984834247794,,1
0,gbrt,0.4549658243982424,,1
0,hist_gbrt,0.3944947099608237,,1
0,knn,0.5387930870802338,,1
0,lasso,0.2609105706214905,,1
0,rf,0.48934267012680255,,1
0,ridge,0.25481024384498596,,1
1,elastic_net,0.023739682510495186,,1
1,extra_trees,0.09239604107321217,,1
1,gbrt,0.07461980250050708,,1
1,hist_gbrt,0.06650470004926663,,1
1,knn,0.12018347453438248,,1
1,lasso,0.027411924675107002,,1
1,rf,0.10016270870887371,,1
1,ridge,0.026315081864595413,,1
2,elastic_net,0.3813788890838623,,1
2,extra_trees,0.5440974536645182,,1
2,gbrt,0.5562296094706342,,1
2,hist_gbrt,0.5152663701151865,,1
2,knn,0.7378936255124185,,1
2,lasso,0.381124347448349,,1
2,rf,0.5687248168125956,,1
2,ridge,0.38188278675079346,,1
3,elastic_net,0.006092138588428497,,1
3,extra_trees,0.0779438370300416,,1
3,gbrt,0.07960335342645627,,1
3,hist_gbrt,0.11316054083887576,,1
3,knn,0.13282493760001282,,1
3,lasso,0.006127945613116026,,1
3,rf,0.08686320644282487,,1
3,ridge,0.01653648167848587,,1
4,elastic_net,0.1356717348098755,,1
4,extra_trees,0.24069328051076114,,1
4,gbrt,0.20335086799273505,,1
4,hist_gbrt,0.17744487241111023,,1
4,knn,0.3333836854051547,,1
4,lasso,0.13560791313648224,,1
4,rf,0.24933374724264762,,1
4,ridge,0.13540500402450562,,1
5,elastic_net,0.3353959918022156,,1
5,extra_trees,0.4892196711813134,,1
5,gbrt,0.5343823720249643,,1
5,hist_gbrt,0.47978734147737684,,1
5,knn,0.4716189571858171,,1
5,lasso,0.33518749475479126,,1
5,rf,0.5304495852941641,,1
5,ridge,0.3361283838748932,,1
6,elastic_net,0.1843021959066391,,1
6,extra_trees,0.4752193952306816,,1
6,gbrt,0.4390750064029417,,1
6,hist_gbrt,0.4399463823385301,,1
6,knn,0.6216606072646399,,1
6,lasso,0.1844477653503418,,1
6,rf,0.4835809123666427,,1
6,ridge,0.18158526718616486,,1
7,elastic_net,0.17110389471054077,,1
7,extra_trees,0.6207160459150394,,1
7,gbrt,0.6397291196948917,,1
7,hist_gbrt,0.5230951151443063,,1
7,knn,0.7500340882633627,,1
7,lasso,0.17106765508651733,,1
7,rf,0.6241330113278607,,1
7,ridge,0.17201527953147888,,1
8,elastic_net,0.08917509019374847,,1
8,extra_trees,0.2837134475340839,,1
8,gbrt,0.27154800742966656,,1
8,hist_gbrt,0.2687116884249293,,1
8,knn,0.3578947963685788,,1
8,lasso,0.09004758298397064,,1
8,rf,0.34638212096521076,,1
8,ridge,0.09043654799461365,,1
9,elastic_net,0.406426340341568,,1
9,extra_trees,0.3946647563990566,,1
9,gbrt,0.40753606471026627,,1
9,hist_gbrt,0.48229064298503016,,1
9,knn,0.4222980164021012,,1
9,lasso,0.4053395092487335,,1
9,rf,0.39564442899402674,,1
9,ridge,0.40369483828544617,,1
10,elastic_net,0.24181729555130005,,1
10,extra_trees,0.3290250082684675,,1
10,gbrt,0.3329306467717505,,1
10,hist_gbrt,0.30450804391865094,,1
10,knn,0.4147324098837242,,1
10,lasso,0.2419082373380661,,1
10,rf,0.3940515541659213,,1
10,ridge,0.24227246642112732,,1
11,elastic_net,0.4895339012145996,,1
11,extra_trees,0.6102544054638442,,1
