condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
50,0.41714396895248923,0.10685667080619804,8,256,0.5,20,20,5,16,roots,False,False,False,relu,False,0.005,1.2,uniform
51,0.17835110409922333,0.08731205063852115,8,256,0.7,10,20,2,16,causal,False,True,True,gelu,False,0.03,1.2,uniform
52,0.09838295992417662,0.04599395474002274,8,512,0.5,20,10,5,16,causal,True,False,False,tanh,True,0.005,0.5,uniform
53,0.2430602699788365,0.1179668744521924,8,512,0.7,20,20,2,64,roots,True,False,True,relu,False,0.005,0.5,uniform
54,0.13686904215837825,0.04494211915338253,8,512,0.5,10,10,2,64,roots,False,False,True,gelu,True,0.03,1.2,uniform
55,0.3044065087987591,0.08659934924889068,8,512,0.5,20,20,5,64,causal,True,True,True,relu,True,0.005,1.2,uniform
56,0.28222052022712707,0.06216939028853414,8,256,0.5,10,10,2,16,head,True,False,True,relu,False,0.03,1.2,normal
57,0.21878002382069267,0.0266520873026679,8,512,0.5,10,10,5,64,causal,True,False,False,relu,False,0.03,0.5,uniform
58,0.7127386073408141,0.03076190211571983,8,512,0.5,10,20,5,64,causal,True,False,False,gelu,False,0.03,1.2,normal
59,0.19493096452507644,0.10581525687338401,8,512,0.5,10,20,2,16,head,False,True,True,relu,True,0.03,0.5,uniform
60,0.34447750002561917,0.03915672877180371,8,512,0.5,10,10,2,64,head,True,False,False,relu,True,0.03,0.5,uniform
61,0.049124593594895405,0.04306856956653581,8,256,0.7,20,20,5,16,head,True,False,False,gelu,False,0.03,1.2,uniform
62,0.593184125467705,0.0858416545264685,8,256,0.5,10,20,2,64,causal,True,True,False,gelu,True,0.005,1.2,uniform
63,0.1399349790472777,0.1137956762172327,8,256,0.5,20,10,2,16,causal,True,True,True,tanh,True,0.005,0.5,uniform
64,0.3302305808898276,0.042350975007335534,8,256,0.7,10,10,2,16,roots,True,False,True,gelu,True,0.005,1.2,uniform
65,0.5197419765249235,0.025041758750720747,8,256,0.7,10,20,5,64,causal,True,False,False,gelu,True,0.03,0.5,uniform
66,0.5441561792820282,0.020201888894767574,8,512,0.7,10,10,5,64,roots,False,True,False,tanh,True,0.005,1.2,uniform
67,0.2103989028651218,0.09610702239690753,8,256,0.5,10,10,2,64,roots,True,False,True,relu,True,0.03,0.5,uniform
68,0.21872036496215833,0.12151073544611324,8,256,0.7,20,10,5,64,causal,False,True,False,tanh,True,0.005,0.5,uniform
69,0.684856887066687,0.09821310809095052,8,256,0.5,20,20,5,16,roots,False,True,False,tanh,False,0.005,0.5,normal
70,0.14645750578781544,0.12239638447186682,8,256,0.7,20,10,5,16,head,True,False,True,relu,True,0.03,1.2,normal
71,0.1384859131050564,0.01736296196318354,8,512,0.7,10,10,5,16,causal,True,False,False,gelu,True,0.03,0.5,normal
72,0.3591196168254199,0.049802424121479116,8,512,0.5,10,10,2,64,roots,True,False,True,gelu,False,0.03,0.5,normal
73,0.3614076157779365,0.14398480690119117,8,256,0.5,20,20,2,64,head,False,True,True,relu,True,0.005,0.5,uniform
74,0.35778583553736426,0.05540309401343291,8,512,0.5,10,20,5,16,causal,False,True,True,gelu,True,0.03,1.2,normal
75,0.2239170354471684,0.04487401078729704,8,256,0.7,20,10,5,16,causal,False,False,True,tanh,True,0.005,1.2,uniform
76,0.3821085918745509,0.05703827887173298,8,512,0.7,10,10,5,64,head,True,True,True,gelu,False,0.005,0.5,normal
77,0.5048558592725891,0.02318465005761494,8,512,0.7,10,20,5,64,head,False,True,False,tanh,True,0.005,1.2,uniform
78,0.3368233126710345,0.0805987906622617,8,512,0.7,20,10,2,64,causal,False,False,False,tanh,True,0.03,1.2,normal
79,0.5115232148159367,0.03830468179103413,8,256,0.5,10,10,2,64,head,True,True,False,tanh,True,0.005,0.5,normal
80,0.29316615223823295,0.17944990913062203,8,256,0.7,10,10,2,16,causal,False,True,False,tanh,True,0.005,1.2,uniform
81,0.22526564908482488,0.14891588278905557,8,256,0.7,20,10,2,64,head,True,False,False,gelu,False,0.005,0.5,uniform
82,0.7601631485189182,0.04426712292820364,8,512,0.5,10,20,2,64,causal,True,False,False,relu,True,0.03,0.5,normal
83,0.7952530085061035,0.07687586942201986,8,256,0.5,10,20,2,64,causal,False,True,True,relu,False,0.03,1.2,uniform
84,0.7097982827226432,0.0690446684780533,8,256,0.5,20,20,5,64,roots,False,True,False,tanh,False,0.03,0.5,normal
85,0.6533650854524508,0.03570364743156423,8,512,0.5,10,20,5,64,causal,False,False,True,tanh,True,0.005,0.5,normal
86,0.2318060568305335,0.08537713092287147,8,256,0.7,20,10,5,64,causal,True,True,True,relu,False,0.03,0.5,uniform
87,0.5959569412768775,0.11052915553943986,8,256,0.5,20,20,5,64,roots,True,True,False,gelu,False,0.03,1.2,uniform
88,0.2464277592572131,0.09787147329408079,8,512,0.5,20,20,5,64,head,False,True,True,gelu,False,0.005,1.2,uniform
89,0.10515104695301944,0.09468158460866943,8,256,0.5,20,10,2,16,head,False,False,True,tanh,False,0.03,0.5,normal
90,0.4522076368025542,0.08172328138276913,8,512,0.5,20,10,5,64,causal,False,True,True,gelu,False,0.03,1.2,normal
91,0.27555193754697616,0.10214798118186319,8,256,0.5,10,10,5,16,causal,False,True,True,gelu,True,0.005,0.5,normal
92,0.48263153481631565,0.05271432089227563,8,256,0.5,10,10,5,64,head,False,False,True,relu,True,0.03,0.5,normal
93,0.25922962320826276,0.17542584981722978,8,512,0.5,20,20,2,16,causal,False,False,True,tanh,False,0.005,0.5,normal
94,0.222422380699827,0.030274815220242172,8,512,0.5,10,20,5,16,causal,True,False,False,gelu,False,0.03,0.5,normal
95,0.2678651670589641,0.11484187613055483,8,512,0.7,20,20,2,64,head,False,False,True,relu,True,0.03,1.2,uniform
96,0.2503366393748306,0.10083726902217631,8,512,0.7,20,10,2,64,head,False,True,False,tanh,False,0.03,0.5,normal
97,0.45360125003574614,0.013324468857221,8,512,0.7,10,10,2,64,head,False,False,True,gelu,True,0.03,1.2,normal
98,0.5404788224261134,0.0724407903179956,8,512,0.5,10,20,2,64,head,True,True,False,relu,True,0.005,0.5,uniform
99,0.09143891122314919,0.08262133429576744,8,512,0.5,20,20,5,16,head,True,False,False,relu,False,0.005,0.5,normal
100,0.12597611007657716,0.11110103054836787,8,256,0.7,20,20,2,16,head,True,True,True,gelu,True,0.03,0.5,normal
101,0.6513689952086262,0.07342709682839782,8,256,0.7,10,20,2,64,head,True,True,True,gelu,True,0.005,1.2,normal
102,0.46451140939551616,0.0973812348108182,8,512,0.5,20,20,2,16,roots,True,False,True,tanh,True,0.005,1.2,normal
103,0.10385052042977823,0.08929096160496444,8,256,0.5,20,10,2,16,head,True,True,False,gelu,True,0.005,0.5,uniform
104,0.12293528056181185,0.036696897141580434,8,256,0.7,10,10,5,16,causal,True,False,False,gelu,False,0.005,1.2,normal
105,0.11147530901008758,0.055789502862251025,8,256,0.5,10,10,5,16,head,True,False,True,relu,True,0.005,0.5,uniform
106,0.29836422281637365,0.028680721635524913,8,256,0.7,10,10,5,64,causal,True,False,True,relu,False,0.03,1.2,uniform
107,0.07963754074914783,0.03656233272983417,8,512,0.7,10,10,5,16,head,False,True,True,tanh,True,0.03,1.2,uniform
108,0.34596367133046035,0.11858787753668036,8,512,0.5,20,20,2,64,head,True,False,False,tanh,False,0.005,1.2,uniform
109,0.02682747590942421,0.027728099970819983,8,256,0.7,20,10,5,16,causal,True,True,False,relu,False,0.03,1.2,uniform
110,0.20909892071466485,0.10808476753307335,8,512,0.5,10,20,2,16,head,False,True,True,gelu,True,0.03,1.2,uniform
