seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
256,0.7,10,10,5,64,head,False,False,False,gelu,True,0.03,0.5,normal,0.48861689584087786
256,0.7,10,10,5,64,head,False,True,False,relu,True,0.03,1.2,uniform,0.2453572383307726
256,0.7,10,10,5,64,roots,True,False,True,gelu,False,0.03,0.5,normal,0.6794866809627984
256,0.7,10,20,2,16,causal,False,True,True,gelu,False,0.03,1.2,uniform,0.17835110409922333
256,0.7,10,20,2,64,causal,False,True,True,tanh,True,0.005,1.2,normal,0.6852522603727129
256,0.7,10,20,2,64,head,False,True,False,relu,True,0.03,1.2,normal,0.6336366870688273
256,0.7,10,20,2,64,head,True,True,True,gelu,True,0.005,1.2,normal,0.6513689952086262
256,0.7,10,20,5,16,causal,False,False,False,relu,False,0.03,1.2,uniform,0.18376500946205676
256,0.7,10,20,5,16,causal,True,True,False,tanh,True,0.03,1.2,uniform,0.08362410390356159
256,0.7,10,20,5,16,head,False,True,True,relu,True,0.03,1.2,uniform,0.08980288611325618
256,0.7,10,20,5,64,causal,False,False,True,relu,True,0.03,0.5,uniform,0.6230613719881193
256,0.7,10,20,5,64,causal,True,False,False,gelu,True,0.03,0.5,uniform,0.5197419765249235
256,0.7,20,10,2,16,causal,True,False,False,gelu,False,0.005,1.2,uniform,0.10696172740116347
256,0.7,20,10,2,64,head,False,True,True,gelu,False,0.03,0.5,normal,0.2929952052121978
256,0.7,20,10,2,64,head,True,False,False,gelu,False,0.005,0.5,uniform,0.22526564908482488
256,0.7,20,10,5,16,causal,False,False,True,tanh,True,0.005,1.2,uniform,0.2239170354471684
256,0.7,20,10,5,16,causal,True,True,False,relu,False,0.03,1.2,uniform,0.02682747590942421
256,0.7,20,10,5,16,head,True,False,True,relu,True,0.03,1.2,normal,0.14645750578781544
256,0.7,20,10,5,16,head,True,True,False,tanh,True,0.005,0.5,uniform,0.03892774112010188
256,0.7,20,10,5,64,causal,False,True,False,tanh,True,0.005,0.5,uniform,0.21872036496215833
256,0.7,20,10,5,64,causal,True,True,True,relu,False,0.03,0.5,uniform,0.2318060568305335
256,0.7,20,10,5,64,head,True,False,False,gelu,False,0.005,0.5,normal,0.37740028955291627
256,0.7,20,20,2,16,causal,False,False,True,gelu,True,0.005,0.5,uniform,0.15191452163784475
256,0.7,20,20,2,16,causal,False,True,True,gelu,True,0.03,1.2,uniform,0.16702144990184328
256,0.7,20,20,2,16,head,True,True,True,gelu,True,0.03,0.5,normal,0.12597611007657716
256,0.7,20,20,2,16,roots,False,True,False,tanh,False,0.005,0.5,normal,0.3592943385354077
256,0.7,20,20,2,64,causal,False,False,True,tanh,False,0.03,1.2,normal,0.5914578904578841
256,0.7,20,20,2,64,roots,True,True,True,tanh,True,0.03,1.2,uniform,0.27056165599818915
256,0.7,20,20,5,16,causal,True,False,False,tanh,False,0.03,1.2,normal,0.3471058244269892
256,0.7,20,20,5,16,causal,True,True,True,tanh,True,0.03,0.5,uniform,0.08898554747497814
256,0.7,20,20,5,16,head,False,True,True,relu,True,0.005,0.5,normal,0.11521003206227085
256,0.7,20,20,5,16,head,True,False,False,gelu,False,0.03,1.2,uniform,0.049124593594895405
256,0.7,20,20,5,64,causal,True,False,False,tanh,False,0.03,0.5,uniform,0.6370313963830129
256,0.7,20,20,5,64,causal,True,True,False,gelu,False,0.03,1.2,normal,0.5127089092412311
