condition_id,model,pmse_mean,pmse_std,n
0,elastic_net,0.11858341749757528,0.12504546363182178,4
0,extra_trees,0.27202976641370735,0.24172746645038007,4
0,gbrt,0.25773064258322154,0.2079325467738568,4
0,hist_gbrt,0.2889495162076499,0.27553781096627084,4
0,knn,0.38496367488044586,0.26907622769668554,4
0,lasso,0.11820533080026507,0.1253459992433079,4
0,rf,0.31160283400797323,0.2499981831206176,4
0,ridge,0.11929463897831738,0.13035733932839824,4
1,elastic_net,0.709907166659832,0.3425386737148032,4
1,extra_trees,0.6096532091046306,0.2761979091456631,4
1,gbrt,0.6564221046607084,0.4066371637746969,4
1,hist_gbrt,0.660826593317506,0.28351539024804223,4
1,knn,0.7353031757012312,0.2839143921149626,4
1,lasso,0.7098970413208008,0.3427661672374196,4
1,rf,0.6440690869046044,0.305350026708659,4
1,ridge,0.7098150700330734,0.34253491087402815,4
2,elastic_net,0.36974388360977173,0.049709481102760196,4
2,extra_trees,0.29563104105793503,0.09019222672857008,4
2,gbrt,0.30212072609387297,0.06478652287296795,4
2,hist_gbrt,0.2860154156341642,0.05619911212781446,4
2,knn,0.40064935850239114,0.1485016007140102,4
2,lasso,0.3696720004081726,0.0494389884283609,4
2,rf,0.32660214904112184,0.0814945895422111,4
2,ridge,0.368960902094841,0.04898030270761751,4
3,elastic_net,0.000774182437453419,0.0002625133439342196,4
3,extra_trees,0.05165484655061686,0.014267384203925247,4
3,gbrt,0.048374761729697985,0.018838878887991427,4
3,hist_gbrt,0.06208136124724288,0.015885031919840552,4
3,knn,0.13131914876497883,0.02423834050754286,4
3,lasso,0.0011938445968553424,0.00046578826965529405,4
3,rf,0.07539818982196153,0.030676983117218854,4
3,ridge,0.001201558974571526,0.00070699601093396,4
4,elastic_net,0.6477265357971191,0.11069753443527725,4
4,extra_trees,0.7006755690270587,0.15686521264797162,4
4,gbrt,0.7511998425186189,0.14511969957245102,4
4,hist_gbrt,0.7820958091113867,0.20781607670859378,4
4,knn,0.696340315242318,0.10768310790408268,4
4,lasso,0.6471862345933914,0.11074715522036119,4
4,rf,0.7010480245581553,0.14065092758038006,4
4,ridge,0.644857257604599,0.11102185022167009,4
5,elastic_net,0.719365730881691,0.13942915469997838,4
5,extra_trees,0.7181501507514066,0.15687024382161988,4
5,gbrt,0.7755324480582058,0.16365589438754446,4
5,hist_gbrt,0.7798612403463716,0.21107965907216097,4
5,knn,0.7732539738653676,0.15975917701659567,4
5,lasso,0.7193535566329956,0.1395446276026995,4
5,rf,0.7584980297275113,0.14977131537112415,4
5,ridge,0.7193330228328705,0.1391893092574802,4
6,elastic_net,0.33365726843476295,0.18751837882632377,4
6,extra_trees,0.4246993170620157,0.17737425627978776,4
6,gbrt,0.43618377579712686,0.1563586701824593,4
6,hist_gbrt,0.4661934906049948,0.18666901308215134,4
6,knn,0.5060272922255235,0.2275090960656553,4
6,lasso,0.3333210051059723,0.18727997143407724,4
6,rf,0.4596447610181985,0.14714287572881432,4
6,ridge,0.33202600479125977,0.18681622323295735,4
7,elastic_net,0.000823645808850415,0.0008911671411557195,4
7,extra_trees,0.11352787572161673,0.0773125974641001,4
7,gbrt,0.11302266987518608,0.07196523565331853,4
7,hist_gbrt,0.14047256779661238,0.0776421401909992,4
7,knn,0.2206796384653237,0.15040855668349412,4
7,lasso,0.0014542694561896496,0.0014622935843949052,4
7,rf,0.1556797181835844,0.10200340695110482,4
7,ridge,0.0015110645654203836,0.0010201706203233297,4
8,elastic_net,0.6754534393548965,0.08983315055603229,4
8,extra_trees,0.7424201462717888,0.08418905147749332,4
8,gbrt,0.7914729487747072,0.09064694416704805,4
8,hist_gbrt,0.8018924994526723,0.08036742105862273,4
8,knn,0.7568272127937002,0.13335948912508835,4
8,lasso,0.6751604974269867,0.08983225954860334,4
8,rf,0.7486756912047723,0.08904636969456552,4
8,ridge,0.6753550916910172,0.08987877006086908,4
9,elastic_net,0.21519630774855614,0.05581858727373742,4
9,extra_trees,0.358084346566787,0.09292465999091791,4
9,gbrt,0.30968034780810205,0.07516600619305444,4
9,hist_gbrt,0.29031196822102306,0.07360115604419208,4
9,knn,0.4891233363418636,0.1016388851553811,4
9,lasso,0.21527408063411713,0.0559139079724643,4
9,rf,0.3790415622256795,0.10422775712938961,4
